Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.000,0.999,0.000,0.998
O,0.01,--,0.999,0.000,1.000
O,0.02,--,0.999,0.000,1.000
O,0.05,--,0.999,0.000,1.000
O+Q,0.005,0.000,0.998,0.000,0.970
O+Q,0.01,0.000,0.999,0.000,0.999
O+Q,0.02,--,0.999,0.000,1.000
O+Q,0.05,--,0.999,0.000,1.000
S,0.005,0.000,0.999,0.000,0.995
S,0.01,--,0.999,0.000,1.000
S,0.02,--,0.999,0.000,1.000
S,0.05,--,0.999,0.000,1.000
O+S,0.005,0.000,0.999,0.000,0.996
O+S,0.01,--,0.999,0.000,1.000
O+S,0.02,--,0.999,0.000,1.000
O+S,0.05,--,0.999,0.000,1.000
O+Q+S,0.005,0.000,0.998,0.000,0.993
O+Q+S,0.01,--,0.999,0.000,1.000
O+Q+S,0.02,--,0.999,0.000,1.000
O+Q+S,0.05,--,0.999,0.000,1.000
