Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.000,0.999,0.000,0.932
O,0.01,--,0.999,0.000,1.000
O,0.02,--,0.999,0.000,1.000
O,0.05,--,0.999,0.000,1.000
O+Q,0.005,0.000,0.999,0.000,0.919
O+Q,0.01,0.000,0.999,0.000,0.999
O+Q,0.02,--,0.999,0.000,1.000
O+Q,0.05,--,0.999,0.000,1.000
S,0.005,0.000,0.999,0.000,0.980
S,0.01,--,0.999,0.000,1.000
S,0.02,--,0.999,0.000,1.000
S,0.05,--,0.999,0.000,1.000
O+S,0.005,0.000,0.999,0.000,0.955
O+S,0.01,--,0.999,0.000,1.000
O+S,0.02,--,0.999,0.000,1.000
O+S,0.05,--,0.999,0.000,1.000
O+Q+S,0.005,0.000,0.999,0.000,0.932
O+Q+S,0.01,0.000,0.999,0.000,1.000
O+Q+S,0.02,--,0.999,0.000,1.000
O+Q+S,0.05,--,0.999,0.000,1.000
