Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,--,0.999,0.000,1.000
O,0.01,--,0.999,0.000,1.000
O,0.02,--,0.999,0.000,1.000
O,0.05,--,0.999,0.000,1.000
O+Q,0.005,0.000,0.999,0.000,0.971
O+Q,0.01,0.000,0.999,0.000,1.000
O+Q,0.02,--,0.999,0.000,1.000
O+Q,0.05,--,0.999,0.000,1.000
S,0.005,0.016,0.999,0.247,0.982
S,0.01,0.163,0.999,0.247,0.998
S,0.02,--,0.999,0.000,1.000
S,0.05,--,0.999,0.000,1.000
O+S,0.005,0.013,0.999,0.247,0.978
O+S,0.01,0.163,0.999,0.247,0.998
O+S,0.02,--,0.999,0.000,1.000
O+S,0.05,--,0.999,0.000,1.000
O+Q+S,0.005,0.009,0.999,0.247,0.969
O+Q+S,0.01,0.000,0.999,0.000,0.999
O+Q+S,0.02,--,0.999,0.000,1.000
O+Q+S,0.05,--,0.999,0.000,1.000
