Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.003,0.999,0.361,0.807
O,0.01,0.000,0.998,0.000,0.981
O,0.02,0.000,0.999,0.000,1.000
O,0.05,--,0.999,0.000,1.000
O+S,0.005,0.004,0.999,0.321,0.881
O+S,0.01,0.013,0.999,0.040,0.995
O+S,0.02,0.000,0.999,0.000,1.000
O+S,0.05,--,0.999,0.000,1.000
O+D,0.005,0.002,0.999,0.120,0.911
O+D,0.01,0.000,0.999,0.000,1.000
O+D,0.02,--,0.999,0.000,1.000
O+D,0.05,--,0.999,0.000,1.000
O+S+D,0.005,0.003,0.999,0.161,0.918
O+S+D,0.01,0.000,0.999,0.000,0.998
O+S+D,0.02,--,0.999,0.000,1.000
O+S+D,0.05,--,0.999,0.000,1.000
