Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.000,0.999,0.000,1.000
O,0.01,--,0.999,0.000,1.000
O,0.02,--,0.999,0.000,1.000
O,0.05,--,0.999,0.000,1.000
O+S,0.005,0.000,0.999,0.000,0.999
O+S,0.01,--,0.999,0.000,1.000
O+S,0.02,--,0.999,0.000,1.000
O+S,0.05,--,0.999,0.000,1.000
O+D,0.005,0.010,0.999,0.101,0.988
O+D,0.01,0.000,0.999,0.000,0.999
O+D,0.02,--,0.999,0.000,1.000
O+D,0.05,--,0.999,0.000,1.000
O+S+D,0.005,0.009,0.999,0.100,0.987
O+S+D,0.01,0.000,0.999,0.000,0.998
O+S+D,0.02,0.000,0.999,0.000,1.000
O+S+D,0.05,--,0.999,0.000,1.000
